,marca_x,modelo_x,marca_y_modelo_km77,match,marca_y,modelo_y,marca_y_modelo_dgt
564,PORSCHE,CAYENNE TURBO GT,PORSCHE CAYENNE TURBO GT,PORSCHE CAYENNE TURBO GT,PORSCHE,CAYENNE TURBO GT,PORSCHE CAYENNE TURBO GT
565,AUDI,A3 TFSIE,AUDI A3 TFSIE,AUDI A3 40 TFSIE,AUDI,A3 40 TFSIE,AUDI A3 40 TFSIE
566,TOYOTA,AYGO,TOYOTA AYGO,TOYOTA AYGO,TOYOTA,AYGO,TOYOTA AYGO
567,MASERATI,LEVANTE,MASERATI LEVANTE,MASERATI LEVANTE,MASERATI,LEVANTE,MASERATI LEVANTE
568,MASERATI,LEVANTE TROFEO,MASERATI LEVANTE TROFEO,MASERATI LEVANTE,MASERATI,LEVANTE,MASERATI LEVANTE
569,JAGUAR,F TYPE,JAGUAR F TYPE,JAGUAR F TYPE,JAGUAR,F TYPE,JAGUAR F TYPE
570,JAGUAR,F TYPE SVR,JAGUAR F TYPE SVR,JAGUAR F TYPE,JAGUAR,F TYPE,JAGUAR F TYPE
571,RENAULT,TWINGO ZE,RENAULT TWINGO ZE,RENAULT TWINGO,RENAULT,TWINGO,RENAULT TWINGO
572,RENAULT,TWINGO,RENAULT TWINGO,RENAULT TWINGO,RENAULT,TWINGO,RENAULT TWINGO
573,KIA,STONIC,KIA STONIC,KIA STONIC,KIA,STONIC,KIA STONIC
574,FORD,GALAXY,FORD GALAXY,FORD GALAXY,FORD,GALAXY,FORD GALAXY
575,RENAULT,CAPTUR E TECH PLUG IN,RENAULT CAPTUR E TECH PLUG IN,RENAULT CAPTUR E TECH PLUG IN,RENAULT,CAPTUR E TECH PLUG IN,RENAULT CAPTUR E TECH PLUG IN
576,TOYOTA,MIRAI,TOYOTA MIRAI,TOYOTA MIRAI,TOYOTA,MIRAI,TOYOTA MIRAI
577,KIA,RIO,KIA RIO,KIA RIO,KIA,RIO,KIA RIO
578,TOYOTA,HIGHLANDER,TOYOTA HIGHLANDER,TOYOTA HIGHLANDER,TOYOTA,HIGHLANDER,TOYOTA HIGHLANDER
579,TESLA,MODEL X,TESLA MODEL X,TESLA MODEL X,TESLA,MODEL X,TESLA MODEL X
580,VOLVO,S60,VOLVO S60,VOLVO S60,VOLVO,S60,VOLVO S60
581,SEAT,TARRACO PHEV,SEAT TARRACO PHEV,SEAT TARRACO,SEAT,TARRACO,SEAT TARRACO
582,SEAT,TARRACO,SEAT TARRACO,SEAT TARRACO,SEAT,TARRACO,SEAT TARRACO
583,MITSUBISHI,SPACE STAR,MITSUBISHI SPACE STAR,MITSUBISHI SPACE STAR,MITSUBISHI,SPACE STAR,MITSUBISHI SPACE STAR
584,RENAULT,CLIO E TECH,RENAULT CLIO E TECH,RENAULT CLIO E TECH HYBRID,RENAULT,CLIO E TECH HYBRID,RENAULT CLIO E TECH HYBRID
585,OPEL,ZAFIRA LIFE E,OPEL ZAFIRA LIFE E,OPEL ZAFIRA LIFE,OPEL,ZAFIRA LIFE,OPEL ZAFIRA LIFE
586,RENAULT,TALISMAN,RENAULT TALISMAN,RENAULT TALISMAN,RENAULT,TALISMAN,RENAULT TALISMAN
587,AUDI,Q5 SQ5,AUDI Q5 SQ5,AUDI SQ5,AUDI,SQ5,AUDI SQ5
588,PORSCHE,PANAMERA E HYBRID,PORSCHE PANAMERA E HYBRID,PORSCHE PANAMERA 4 E HYBRID,PORSCHE,PANAMERA 4 E HYBRID,PORSCHE PANAMERA 4 E HYBRID
589,PORSCHE,PANAMERA 4 E HYBRID,PORSCHE PANAMERA 4 E HYBRID,PORSCHE PANAMERA 4 E HYBRID,PORSCHE,PANAMERA 4 E HYBRID,PORSCHE PANAMERA 4 E HYBRID
590,AUDI,Q2 SQ2,AUDI Q2 SQ2,AUDI SQ2,AUDI,SQ2,AUDI SQ2
591,OPEL,CORSA CORSA E,OPEL CORSA CORSA E,OPEL CORSA E VAN,OPEL,CORSA E VAN,OPEL CORSA E VAN
